State;July1_colonies;Maximum_colonies;Lost_colonies;Percent_lost;Added_colonies;Renovated_colonies;Percent_renovated
Alabama;8,500.0; 8,500.0;1,700.0; 20.0;1,600.0;1,300.0 ;15.0
Arizona;31,000;31,000;8,000; 26;3,200;3,100;10
Arkansas;29,000;29,000;2,300;8;2,600;840;3
California;590,000;700,000; 73,000; 10;63,000;141,000;20
Colorado;34,000;35,000;5,000; 14;1,500;5,000;14
Connecticut;3,200; 3,200;130;4;80;310;10
Florida;197,000;220,000; 30,000; 14;53,000; 40,000;18
Georgia;134,000;138,000; 17,000; 12;27,000; 33,000;24
Hawaii;16,500;16,500;1,800; 11;1,700;3,000;18
Idaho;82,000;101,000; 14,000; 14;15,000; 21,000;21
Illinois;11,000;11,000;660;6 ;700;420;4
Indiana;11,500;11,500;990;9;520;1,200;10
Iowa;56,000;57,000;3,600;6;1,200;990;2
Kansas;6,000; 6,000;950 ;16;300;180;3
Kentucky;6,500; 7,000;840;12;300;660 ;9
Louisiana;53,000;53,000;1,900;4;1,600;2,300;4
Maine;12,500;12,500;890;7;60;170;1
Maryland;7,500; 7,500;360;5;580;680;9
Massachusetts;8,000;10,000;2,200; 22;850;730;7
Michigan;88,000;88,000;8,000;9;3,000; 22,000;25
Minnesota;121,000;127,000; 29,000; 23;1,600;6,500;5
Mississippi;16,500;16,500;2,900; 18;110;650;4
Missouri;10,000;10,000;540;5;260;410;4
Montana;145,000;153,000; 18,500; 12;3,100; 22,000;14
Nebraska;52,000;54,000;6,500;12;8,500;5,000;9
New Jersey;14,000;14,000;320;2;250;220;2
New Mexico;6,000; 7,000;1,200; 17;3,800;1,000;14
New York;55,000;56,000;3,900; 7;3,600;3,700;7
North Carolina;18,000;18,000;2,200; 12;2,600;2,000;11
North Dakota;455,000;490,000; 59,000; 12;23,000; 14,500;3
Ohio;16,000;16,000;1,300;8;1,300;2,100;13
Oklahoma;2,100; 2,100;370; 18;20;10;0.4
Oregon;116,000;117,000; 13,000; 11;3,000; 49,000;42
Pennsylvania;20,000;21,000;860;4;2,900;2,300;11
South Carolina;9,500;11,500;1,400; 12;670;1,100;10
South Dakota;168,000;197,000; 22,000; 11;8,000;6,500;3
Tennessee;9,000; 9,000;900 ;10;540;1,000;11
Texas;112,000;124,000;7,500;6;7,500;9,500;8
Utah;30,000;30,000;4,400; 15;970;1,400;5
Vermont;7,000; 7,000;90;1;1,200;80;1
Virginia;7,500; 7,500;610;8;1,000;990;13
Washington;76,000;84,000; 12,000; 14;7,000;3,600;4
West Virginia;7,500; 8,000;520;7;170;1,200;15
Wisconsin;61,000;69,000; 10,000; 14;2,400;3,800;6
Wyoming;33,000;34,000;3,900; 11;1,800;3,900;11
Other States;6,490; 9,990;890;9;480;440;4
United States; 2,958,790;;377,120;13;263,560;420,780;14
